d_Au_Pd_m,d_Au_Pd_nm,d_over_lambda_D,applicable,diagnostic_status,formula,mean_definition,surface_charge_definition,surface_charge_sign_convention,interpretation,gouy_chapman_numerator_C_per_m,metal,effective_C_H_F_per_m2,boundary_length_m,boundary_area_m2,n_boundary_quadrature_points,n_boundary_nodes,mean_signed_sigma_C_per_m2,mean_abs_sigma_C_per_m2,local_min_sigma_C_per_m2,local_max_sigma_C_per_m2,charge_sign,has_sign_change,has_zero_charge,has_zero_crossing,mean_gouy_chapman_length_m,mean_gouy_chapman_length_nm,mean_length_infinite,local_min_gouy_chapman_length_m,local_min_gouy_chapman_length_nm,local_max_gouy_chapman_length_m,local_max_gouy_chapman_length_nm,local_max_length_infinite,zero_tolerance_C_per_m2
0.0,0.0,0.0,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the Au/Pd horizontal Stern boundaries; not an independent screening length in the linearized-PB equation and not a charged-gap-support length.,3.569561471538913e-11,Au,0.2,2.4999999999999992e-08,2.499999999999999e-10,285,58,-0.035359361183907694,0.035359361183907694,-0.03946710757389185,-0.03513060237476736,negative,False,False,False,1.0095096042525358e-09,1.0095096042525358,False,9.044395931107546e-10,0.9044395931107546,1.0160831953461632e-09,1.0160831953461633,False,1.1217226635236515e-15
0.0,0.0,0.0,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the Au/Pd horizontal Stern boundaries; not an independent screening length in the linearized-PB equation and not a charged-gap-support length.,3.569561471538913e-11,Pd,0.4,2.5e-08,2.5e-10,285,58,-0.025773777450879106,0.025773777450879106,-0.026085793914271613,-0.018934215147783696,negative,False,False,False,1.384958599235969e-09,1.384958599235969,False,1.3683928820682721e-09,1.368392882068272,1.8852439584519777e-09,1.8852439584519776,False,7.41402854892829e-16
5e-10,0.5,0.164407818922009,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the Au/Pd horizontal Stern boundaries; not an independent screening length in the linearized-PB equation and not a charged-gap-support length.,3.569561471538913e-11,Au,0.2,2.4999999999999992e-08,2.499999999999999e-10,285,58,-0.03559711550744077,0.03559711550744077,-0.04466628707436107,-0.0352004429826196,negative,False,False,False,1.0027670558848447e-09,1.0027670558848447,False,7.991623448790932e-10,0.7991623448790932,1.0140672017398763e-09,1.0140672017398764,False,1.2694922325625007e-15
5e-10,0.5,0.164407818922009,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the Au/Pd horizontal Stern boundaries; not an independent screening length in the linearized-PB equation and not a charged-gap-support length.,3.569561471538913e-11,Pd,0.4,2.5e-08,2.5e-10,285,58,-0.026225122329480332,0.026225122329480332,-0.03138313505265724,-0.026102170939563553,negative,False,False,False,1.3611229060031027e-09,1.3611229060031027,False,1.1374139216969896e-09,1.1374139216969896,1.367534324943241e-09,1.367534324943241,False,8.919623454817508e-16
1e-09,1.0,0.328815637844018,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the Au/Pd horizontal Stern boundaries; not an independent screening length in the linearized-PB equation and not a charged-gap-support length.,3.569561471538913e-11,Au,0.2,2.4999999999999992e-08,2.499999999999999e-10,285,58,-0.03576040654779022,0.03576040654779022,-0.047184849777201415,-0.035247385747508055,negative,False,False,False,9.981881684618295e-10,0.9981881684618295,False,7.565058463455444e-10,0.7565058463455444,1.0127166585088587e-09,1.0127166585088587,False,1.3410740898848819e-15
1e-09,1.0,0.328815637844018,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the Au/Pd horizontal Stern boundaries; not an independent screening length in the linearized-PB equation and not a charged-gap-support length.,3.569561471538913e-11,Pd,0.4,2.4999999999999992e-08,2.499999999999999e-10,285,58,-0.026518464129171977,0.026518464129171977,-0.03714300699280523,-0.026245030036774225,negative,False,False,False,1.346066444176973e-09,1.346066444176973,False,9.610319035909918e-10,0.9610319035909918,1.3600904500918023e-09,1.3600904500918023,False,1.0556677521209745e-15
1.5000000000000002e-09,1.5000000000000002,0.4932234567660271,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the Au/Pd horizontal Stern boundaries; not an independent screening length in the linearized-PB equation and not a charged-gap-support length.,3.569561471538913e-11,Au,0.2,2.4999999999999992e-08,2.499999999999999e-10,285,58,-0.0358809709252978,0.0358809709252978,-0.048852612936594875,-0.035282133947991026,negative,False,False,False,9.948341361694316e-10,0.9948341361694316,False,7.306797440234767e-10,0.7306797440234767,1.0117192675479213e-09,1.0117192675479212,False,1.3884747697998954e-15
1.5000000000000002e-09,1.5000000000000002,0.4932234567660271,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the Au/Pd horizontal Stern boundaries; not an independent screening length in the linearized-PB equation and not a charged-gap-support length.,3.569561471538913e-11,Pd,0.4,2.5e-08,2.5e-10,285,58,-0.026729368476962116,0.026729368476962116,-0.040872338330400125,-0.02629240716223695,negative,False,False,False,1.335445494948935e-09,1.335445494948935,False,8.733440799700799e-10,0.8733440799700799,1.3576396598124246e-09,1.3576396598124245,False,1.1616617237677964e-15
2e-09,2.0,0.657631275688036,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the Au/Pd horizontal Stern boundaries; not an independent screening length in the linearized-PB equation and not a charged-gap-support length.,3.569561471538913e-11,Au,0.2,2.4999999999999992e-08,2.499999999999999e-10,285,58,-0.035971931956722124,0.035971931956722124,-0.05000585566322624,-0.03530850100774668,negative,False,False,False,9.923185320803611e-10,0.9923185320803611,False,7.138286954989413e-10,0.7138286954989412,1.0109637536738678e-09,1.0109637536738678,False,1.4212518994789389e-15
2e-09,2.0,0.657631275688036,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the Au/Pd horizontal Stern boundaries; not an independent screening length in the linearized-PB equation and not a charged-gap-support length.,3.569561471538913e-11,Pd,0.4,2.5000000000000002e-08,2.5e-10,285,58,-0.02688628341686746,0.02688628341686746,-0.043445749683993055,-0.026328356412833705,negative,False,False,False,1.3276515077199186e-09,1.3276515077199187,False,8.216135059246233e-10,0.8216135059246233,1.3557859121805785e-09,1.3557859121805784,False,1.2348024735045173e-15
