param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params,value_M
C_tot,0.1,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6430397395213094,0.4670000000000001,0.17603973952130936,2.1870899968258683e-09,5.878017703936222e-09,-3.690927707110354e-09,2.1870899968258683e-11,5.878017703936222e-11,-3.690927707110354e-11,0.04374179993651736,0.11756035407872444,-0.07381855414220707,0.3720795184678128,-62.792048153218715,0.3720795184678128,-62.79204815321872,0.37207951846781284,-62.792048153218715,9.770652884843798,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257,0.0001
C_tot,0.19573417814876606,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.640328465262543,0.4670000000000001,0.17332846526254286,2.287316124942825e-09,5.878017703936221e-09,-3.590701578993396e-09,2.2873161249428252e-11,5.878017703936221e-11,-3.590701578993396e-11,0.045746322498856504,0.11756035407872442,-0.07181403157986792,0.389130526675876,-61.0869473324124,0.389130526675876,-61.0869473324124,0.389130526675876,-61.0869473324124,9.545410752532277,False,C_tot=0.000195734 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257,0.00019573417814876606
C_tot,0.3831186849557288,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6366893750936645,0.4670000000000001,0.16968937509366444,2.4331395595086244e-09,5.878017703936221e-09,-3.444878144427597e-09,2.4331395595086243e-11,5.878017703936221e-11,-3.444878144427597e-11,0.048662791190172486,0.11756035407872442,-0.06889756288855194,0.41393879400520855,-58.60612059947914,0.41393879400520855,-58.60612059947915,0.41393879400520855,-58.60612059947915,9.225869417099972,False,C_tot=0.000383119 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257,0.0003831186849557288
C_tot,0.7498942093324559,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6318819855718348,0.4670000000000001,0.16488198557183475,2.639113812726925e-09,5.878017703936221e-09,-3.238903891209296e-09,2.6391138127269253e-11,5.878017703936221e-11,-3.2389038912092956e-11,0.052782276254538504,0.11756035407872442,-0.06477807782418592,0.4489802422608628,-55.101975773913715,0.4489802422608628,-55.101975773913715,0.4489802422608628,-55.10197577391372,8.789907532083188,False,C_tot=0.000749894 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257,0.0007498942093324559
C_tot,1.4677992676220697,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6256462141942453,0.46699999999999997,0.1586462141942453,2.919494544238122e-09,5.878017703936211e-09,-2.9585231596980893e-09,2.919494544238122e-11,5.878017703936211e-11,-2.9585231596980886e-11,0.058389890884762444,0.11756035407872421,-0.05917046319396177,0.4966801209671561,-50.33198790328439,0.4966801209671561,-50.331987903284386,0.496680120967156,-50.3319879032844,8.225930903027923,False,C_tot=0.0014678 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257,0.0014677992676220698
C_tot,2.872984833353666,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6177253696765964,0.4670000000000001,0.15072536967659633,3.2857806035375967e-09,5.8780177039362204e-09,-2.5922371003986238e-09,3.2857806035375966e-11,5.878017703936221e-11,-2.5922371003986246e-11,0.06571561207075192,0.11756035407872442,-0.0518447420079725,0.5589946762727968,-44.10053237272032,0.5589946762727969,-44.100532372720316,0.558994676272797,-44.1005323727203,7.540322460286493,False,C_tot=0.00287298 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257,0.002872984833353666
C_tot,5.623413251903491,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.6079223005233299,0.4670000000000001,0.14092230052332977,3.741301603606744e-09,5.878017703936221e-09,-2.1367161003294777e-09,3.741301603606744e-11,5.878017703936221e-11,-2.1367161003294772e-11,0.07482603207213487,0.11756035407872442,-0.042734322006589553,0.6364903598540332,-36.350964014596684,0.6364903598540332,-36.35096401459667,0.6364903598540332,-36.35096401459668,6.7582507632745425,False,C_tot=0.00562341 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257,0.005623413251903491
C_tot,11.006941712522103,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5961944705921983,0.4670000000000001,0.12919447059219824,4.271320082994767e-09,5.878017703936221e-09,-1.606697620941454e-09,4.2713200829947673e-11,5.878017703936221e-11,-1.606697620941454e-11,0.08542640165989535,0.11756035407872442,-0.032133952418829076,0.7266599554701023,-27.334004452989774,0.7266599554701023,-27.334004452989774,0.7266599554701023,-27.334004452989774,5.916648078134688,False,C_tot=0.0110069 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257,0.011006941712522103
C_tot,21.544346900318846,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5827512856636785,0.4670000000000002,0.11575128566367832,4.833860575824997e-09,5.878017703936237e-09,-1.0441571281112399e-09,4.833860575824997e-11,5.878017703936237e-11,-1.0441571281112394e-11,0.09667721151649994,0.11756035407872473,-0.020883142562224788,0.8223623710061275,-17.76376289938725,0.8223623710061275,-17.76376289938725,0.8223623710061274,-17.763762899387253,5.057173815935526,False,C_tot=0.0215443 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257,0.021544346900318846
C_tot,42.169650342858226,7.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,0.5680890437713775,0.4670000000000001,0.1010890437713774,5.363488012927155e-09,5.878017703936221e-09,-5.14529691009066e-10,5.363488012927155e-11,5.878017703936221e-11,-5.145296910090659e-12,0.1072697602585431,0.11756035407872442,-0.010290593820181326,0.9124654404044222,-8.753455959557776,0.9124654404044223,-8.753455959557769,0.9124654404044223,-8.75345595955777,4.220043094592208,False,C_tot=0.0421697 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.5e-08<br>L_gap=1e-08<br>L_Pd_len=2.5e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=0.000185257<br>it0_2=0.000185257<br>alpha1=0.5<br>alpha2=0.5<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=0.000185257<br>it0_2_eff=0.000185257,0.042169650342858224
