d_Au_Pd_m,d_Au_Pd_nm,d_over_lambda_D,applicable,diagnostic_status,formula,mean_definition,surface_charge_definition,surface_charge_sign_convention,interpretation,gouy_chapman_numerator_C_per_m,metal,effective_C_H_F_per_m2,boundary_length_m,boundary_area_m2,n_boundary_quadrature_points,n_boundary_nodes,mean_signed_sigma_C_per_m2,mean_abs_sigma_C_per_m2,local_min_sigma_C_per_m2,local_max_sigma_C_per_m2,charge_sign,has_sign_change,has_zero_charge,has_zero_crossing,mean_gouy_chapman_length_m,mean_gouy_chapman_length_nm,mean_length_infinite,local_min_gouy_chapman_length_m,local_min_gouy_chapman_length_nm,local_max_gouy_chapman_length_m,local_max_gouy_chapman_length_nm,local_max_length_infinite,zero_tolerance_C_per_m2
0.0,0.0,0.0,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Au,0.2,2.4999999999999992e-08,2.499999999999999e-10,285,58,-0.035359361183907694,0.035359361183907694,-0.03946710757389185,-0.03513060237476736,negative,False,False,False,1.0095096042525358e-09,1.0095096042525358,False,9.044395931107546e-10,0.9044395931107546,1.0160831953461632e-09,1.0160831953461633,False,1.1217226635236515e-15
0.0,0.0,0.0,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Pd,0.4,2.5e-08,2.5e-10,285,58,-0.025773777450879106,0.025773777450879106,-0.026085793914271613,-0.018934215147783696,negative,False,False,False,1.384958599235969e-09,1.384958599235969,False,1.3683928820682721e-09,1.368392882068272,1.8852439584519777e-09,1.8852439584519776,False,7.41402854892829e-16
5e-10,0.5,0.164407818922009,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Au,0.2,2.4999999999999992e-08,2.499999999999999e-10,285,58,-0.03547428759219938,0.03547428759219938,-0.04165484001703022,-0.035168125112954134,negative,False,False,False,1.006239085777678e-09,1.006239085777678,False,8.569379860970605e-10,0.8569379860970605,1.01499908228661e-09,1.01499908228661,False,1.1839017593339981e-15
5e-10,0.5,0.164407818922009,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Pd,0.4,2.5e-08,2.5e-10,285,58,-0.026050221631987943,0.026050221631987943,-0.026704039984139772,-0.02534355314277529,negative,False,False,False,1.370261459563065e-09,1.370261459563065,False,1.336712150543127e-09,1.3367121505431272,1.4084692274321018e-09,1.4084692274321018,False,7.58974465047111e-16
1e-09,1.0,0.328815637844018,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Au,0.2,2.4999999999999992e-08,2.499999999999999e-10,285,58,-0.03557173527767517,0.03557173527767517,-0.04301852856921512,-0.03519735780657151,negative,False,False,False,1.0034825244466415e-09,1.0034825244466414,False,8.29773028102444e-10,0.829773028102444,1.0141560884074255e-09,1.0141560884074254,False,1.2226601191177656e-15
1e-09,1.0,0.328815637844018,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Pd,0.4,2.4999999999999992e-08,2.499999999999999e-10,285,58,-0.0262567534863711,0.0262567534863711,-0.030688557741593715,-0.026166833850193912,negative,False,False,False,1.3594831795910103e-09,1.3594831795910103,False,1.163157128984563e-09,1.163157128984563,1.3641549038660097e-09,1.3641549038660097,False,8.72221270969752e-16
1.5000000000000002e-09,1.5000000000000002,0.4932234567660271,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Au,0.2,2.4999999999999992e-08,2.499999999999999e-10,285,58,-0.035653641672855556,0.035653641672855556,-0.044066088848597834,-0.03522115559397158,negative,False,False,False,1.0011772441906132e-09,1.0011772441906133,False,8.100472641906578e-10,0.8100472641906578,1.0134708561776649e-09,1.0134708561776649,False,1.252433572989214e-15
1.5000000000000002e-09,1.5000000000000002,0.4932234567660271,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Pd,0.4,2.5e-08,2.5e-10,285,58,-0.026419712607198435,0.026419712607198435,-0.03348515990827452,-0.02620928352722049,negative,False,False,False,1.3510977672657702e-09,1.3510977672657702,False,1.066012968526048e-09,1.066012968526048,1.3619454602151297e-09,1.3619454602151297,False,9.51705485143592e-16
2e-09,2.0,0.657631275688036,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Au,0.2,2.4999999999999992e-08,2.499999999999999e-10,285,58,-0.03572191181750744,0.03572191181750744,-0.04487257597332067,-0.03524068153445378,negative,False,False,False,9.992638383339431e-10,0.9992638383339432,False,7.954884234105977e-10,0.7954884234105977,1.0129093184673675e-09,1.0129093184673676,False,1.2753553157074484e-15
2e-09,2.0,0.657631275688036,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Pd,0.4,2.5000000000000002e-08,2.5e-10,285,58,-0.02655030950554296,0.02655030950554296,-0.03554642259837153,-0.026235908581188627,negative,False,False,False,1.3444519246729266e-09,1.3444519246729265,False,1.0041971063784189e-09,1.004197106378419,1.3605633136327969e-09,1.3605633136327968,False,1.0102900943812622e-15
